text,language,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation,isHate,original_language
आज मौसम काफ़ी ठंडा है।,hin,0,0,0,0,0,0,0,0,0,hin
उसकी नई किताब अगले महीने छपेगी।,hin,0,0,0,0,0,0,0,0,0,hin
他向权力屈服。,cmn,0,0,0,0,0,0,0,0,0,cmn
Many people drift through life without a purpose.,eng,0,0,1,0,0,0,0,0,1,eng
记者租了间很贵的房。,cmn,0,0,0,0,0,0,0,0,0,cmn
हमारी पिछली मुलाक़ात से अब दस साल हो गए हैं।,hin,1,0,0,0,0,0,0,0,1,hin
जैक ने मेरा छाता शायद ग़लती से ले लिया है।,hin,0,0,0,0,0,0,0,0,0,hin
"¿Cómo se deletrea ""bonita""?",spa,0,0,0,0,0,0,0,0,0,spa
வானின் றுலகம் வழங்கி வருதலால் தானமிழ்தம் என்றுணரற் பாற்று,tam,0,0,0,0,0,0,0,0,0,tam
我只是不知道應該說什麼而已……,cmn,0,0,0,0,0,0,0,0,0,cmn
Esa ciudad es cuna de numerosas personas famosas.,spa,0,0,0,0,0,0,0,0,0,spa
Se pensaba que los viajes espaciales eran imposibles.,spa,0,0,0,0,0,0,0,0,0,spa
It's too good to be true.,eng,0,0,0,0,0,0,0,0,0,eng
ये नियम हैं। इनके मुताबिक कम करिए।,hin,0,0,0,0,0,0,0,0,0,hin
I've been waiting for hours.,eng,0,0,0,0,0,0,0,0,0,eng
Tanto Jesús como sus discípulos fueron invitados a aquella boda.,spa,0,0,0,0,0,0,0,0,0,spa
报纸、杂志和新闻广播讲述着世界上正在发生的事。,cmn,0,0,0,0,0,0,0,0,0,cmn
You are old enough to stand on your own feet.,eng,0,0,0,0,0,0,0,0,0,eng
我们选她为我们队的队长。,cmn,0,0,0,0,0,0,0,0,0,cmn
हम भारत से चाय का आयात करते हैं।,hin,0,0,0,0,0,0,0,0,0,hin
局长，那不是我！,cmn,0,0,0,0,0,0,0,0,0,cmn
¿Cuándo viste esa película?,spa,0,0,0,0,0,0,0,0,0,spa
என்னிடம் பேசு,tam,0,0,0,0,0,0,0,0,0,tam
कमरे में तम्बाकू की महक थी।,hin,1,0,0,0,0,0,0,0,1,hin
拿着。,cmn,0,0,0,0,0,0,0,0,0,cmn
Are you able to type?,eng,0,0,0,0,0,0,0,0,0,eng
That way I kill two birds with one stone.,eng,1,0,0,0,0,0,0,0,1,eng
ஒரு சதுரத்திற்கு நான்கு சமமான பக்கங்கள் உள்ளன,tam,0,0,0,0,0,0,0,0,0,tam
我能问一下您的姓名和住址吗？,cmn,0,0,0,0,0,0,0,0,0,cmn
What are you going to have?,eng,0,0,0,0,0,0,0,0,0,eng
My eyes are an ocean in which my dreams are reflected.,eng,0,0,0,0,0,0,0,0,0,eng
It depends on the context.,eng,0,0,0,0,0,0,0,0,0,eng
அவனுக்கு உடல் நிலை சரியில்லாததனால் அவனால் வர இயலாது,tam,0,0,0,0,0,0,0,0,0,tam
3的三次方等于27。,cmn,0,0,0,0,0,0,0,0,0,cmn
¿Cómo provocar el deseo de una mujer?,spa,0,0,1,0,0,0,0,0,1,spa
டாம் ஒத்துக்கற மாதிரி தெரியல.,tam,0,0,0,0,0,0,0,0,0,tam
I don't want to go to school.,eng,0,0,0,0,0,0,0,0,0,eng
உனக்கு பாடல்கள் பிடிக்குமா?,tam,0,0,0,0,0,0,0,0,0,tam
I am four months pregnant.,eng,0,0,0,0,0,0,0,0,0,eng
दो लड़के कमरे से भागे निकल आए।,hin,1,0,0,0,0,0,0,0,1,hin
हर देश में अलग अलग रिवाज़ रखे जाते हैं।,hin,0,0,0,0,0,0,0,0,0,hin
战争爆发的时候，我们在这里已经住了10年了。,cmn,0,0,0,0,0,0,0,0,0,cmn
आसमानों को देखो।,hin,0,0,0,0,0,0,0,0,0,hin
वे जो मर्ज़ी कहें मुझे उससे कोई फ़र्क नहीं पड़ता।,hin,1,0,0,0,0,0,0,0,1,hin
भगवान जाने।,hin,0,0,0,0,0,0,0,0,0,hin
Ese nuevo país está bajo la influencia económica de Japón.,spa,0,0,0,0,0,0,0,0,0,spa
Parte de Osaka hacia Tokio a las diez.,spa,1,0,0,0,0,0,0,0,1,spa
他最终成了IBM的总裁。,cmn,0,0,0,0,0,0,0,0,0,cmn
चोर अंत में तो पकड़ा ही जाएगा।,hin,0,0,0,0,0,0,0,0,0,hin
जोन्स परिवार के नाम पर जो काला धब्बा है वह टिम है।,hin,0,0,0,1,0,0,0,0,1,hin
¿Y nadie le ayudó?,spa,1,0,0,0,0,0,0,0,1,spa
Classes are starting again soon.,eng,0,0,0,0,0,0,0,0,0,eng
"कमरे से निकलने से पहले, कृपया बत्तियाँ बंद कर दीजिएगा।",hin,1,0,0,0,0,0,0,0,1,hin
Did you buy it on the black market?,eng,0,0,0,1,0,0,0,0,1,eng
My next door neighbor is a virtuoso whose skills with the piano have earned him a name among music experts.,eng,1,0,0,0,0,0,0,0,1,eng
How many times a day do you look at yourself in the mirror?,eng,0,0,1,0,0,0,0,0,1,eng
हमारी सोच यह है कि वह निर्दोष है।,hin,1,0,0,0,0,0,0,0,1,hin
Remember that we are all in the same boat.,eng,0,0,0,0,0,0,0,0,0,eng
Never try to die.,eng,1,0,0,0,0,0,0,0,1,eng
You should have helped him with his work.,eng,0,0,0,0,0,0,0,0,0,eng
"Blindness is responsible for a staggering toll of poor health, suffering, and loss of dignity and diminution in the quality of lives of people worldwide.",eng,0,0,0,0,0,1,0,0,1,eng
He died at a very old age.,eng,1,0,0,0,0,0,0,0,1,eng
你的强项是什么？,cmn,0,0,0,0,0,0,0,0,0,cmn
Quiero ser más independiente.,spa,1,0,0,0,0,0,0,0,1,spa
काला रंग तुम पर जँचता है।,hin,0,0,0,1,0,0,0,0,1,hin
I want a massage. I need to relax.,eng,0,0,0,0,0,0,0,0,0,eng
You have no need to hurry.,eng,0,0,0,0,0,0,0,0,0,eng
Where are the showers?,eng,0,0,0,0,0,0,0,0,0,eng
"हमारे पास ठीक से काम खतम करने के लिए समय नहीं हैं, कोई-न-कोई जुगाड़ लगाना होगा।",hin,1,0,0,0,0,0,0,0,1,hin
在非洲有许多孩子死于饥饿。,cmn,1,0,0,0,0,0,0,0,1,cmn
दूर से देखने में वह पत्थर एक आदमी के चेहरे की तरह दिखता था।,hin,0,0,1,0,0,0,0,0,1,hin
जॉन ने एक बाघ पकड़ा और दो शेर मारे।,hin,1,0,0,0,0,0,0,0,1,hin
तुम्हारे पास मंगलवार को समय है क्या?,hin,0,0,0,0,0,0,0,0,0,hin
"You don't know German, do you?",eng,0,0,1,0,0,0,0,0,1,eng
அவர் யார்?,tam,0,0,0,0,0,0,0,0,0,tam
"माफ़ कीजिएगा, आप मेरी मदद कर सकते हैं क्या?",hin,0,0,0,0,0,0,0,0,0,hin
Why don't you eat vegetables?,eng,0,0,0,0,0,0,0,0,0,eng
People are often quite skeptical about things unless given believable proof.,eng,0,0,0,0,0,0,0,0,0,eng
அவருக்கு ஆங்கிலம் பிடிக்காது.,tam,0,0,0,0,0,0,0,0,0,tam
उस सूपरमार्केट में तुम लगभग कोई भी रोजाने में इस्तेमाल होने वाला सामान ख़रीद सकते हो।,hin,1,0,0,0,0,0,0,0,1,hin
她昨天看见一个高大的男人。,cmn,0,0,1,0,0,0,0,0,1,cmn
One hundred and fifty thousand couples are expected to get married in Shanghai in 2006.,eng,0,0,0,0,0,0,0,0,0,eng
这张书桌是木制的。,cmn,0,0,0,0,0,0,0,0,0,cmn
You'd better start now.,eng,0,0,0,0,0,0,0,0,0,eng
"You have cleaned your shoes, haven't you?",eng,0,0,0,0,0,0,0,0,0,eng
You are saying you intentionally hide your good looks?,eng,0,0,0,0,0,0,0,0,0,eng
இது ஒரு கேக்கின் துண்டு,tam,0,0,0,0,0,0,0,0,0,tam
என்னை நம்பு என்று சொன்னாள்.,tam,0,0,0,0,0,0,0,0,0,tam
आओ हमारे साथ बैठो।,hin,1,0,0,0,0,0,0,0,1,hin
"Hace calor esta mañana, ¿no?",spa,0,0,0,0,0,0,0,0,0,spa
वह मेरी ग़लती थी।,hin,0,0,0,0,0,0,0,0,0,hin
Lávate las manos con jabón.,spa,0,0,0,0,0,0,0,0,0,spa
You must control yourself.,eng,0,0,0,0,0,0,0,0,0,eng
Este fluido pegajoso sirvió como sustituto de adhesivo.,spa,0,0,0,0,0,0,0,0,0,spa
Todo lo que es inventado es verdadero.,spa,0,0,0,0,0,0,0,0,0,spa
Ya te encontré.,spa,0,0,0,0,0,0,0,0,0,spa
"It is a prevalent belief, according to a nationwide poll in the United States, that Muslims are linked with terrorism.",eng,0,0,0,0,0,0,1,0,1,eng
You are to start at once.,eng,0,0,0,0,0,0,0,0,0,eng
You should pay back your debts.,eng,0,0,0,0,0,0,0,0,0,eng
जंगल के जानवर मर गए।,hin,1,0,0,0,0,0,0,0,1,hin
You should have attended the meeting.,eng,0,0,0,0,0,0,0,0,0,eng
那个穿棕色大衣的女人是谁？,cmn,0,0,1,0,0,0,0,0,1,cmn
The war on Iraq is a volatile subject of political debate; any wrong word and a heated argument could spark.,eng,0,0,0,0,0,0,0,0,0,eng
नए ब्रिज को इन्द्रधनुष ब्रिज का नाम दिया गया।,hin,0,0,0,0,0,0,0,0,0,hin
You must conquer your fear of the dark.,eng,0,0,0,0,0,0,0,0,0,eng
हमने थोड़ी देर के लिए एक-दूसरे के साथ बात करी।,hin,0,0,0,0,0,0,0,0,0,hin
You are as white as a sheet.,eng,0,0,0,1,0,0,0,0,1,eng
巨大的柱子遮住了视线，让人看不到湖。,cmn,0,0,0,0,0,0,0,0,0,cmn
"Uno, dos, tres, cuatro, cinco, seis, siete, ocho, nueve, diez.",spa,1,0,0,0,0,0,0,0,1,spa
"Tras subir al tren, caí en la cuenta de que había olvidado la cartera en casa.",spa,0,0,0,0,0,0,0,0,0,spa
La floristería está justo al otro lado de la calle.,spa,0,0,0,0,0,0,0,0,0,spa
你想走的时候就走吧。,cmn,0,0,0,0,0,0,0,0,0,cmn
"All I need to know about life, I learned from a snowman.",eng,0,0,1,0,0,0,0,0,1,eng
"Fueron, por la mayoría, jóvenes.",spa,0,0,0,0,0,0,0,0,0,spa
நாம எல்லார்கிட்டயும் சொல்ல வேண்டாம்.,tam,0,0,0,0,0,0,0,0,0,tam
तुम क्यों नहीं आए?,hin,0,0,0,0,0,0,0,0,0,hin
你对女人有一套。,cmn,0,0,1,0,0,0,0,0,1,cmn
离开火车站的时候，我看见一个男人。,cmn,0,0,1,0,0,0,0,0,1,cmn
She doesn't want to talk about it.,eng,0,0,0,0,0,0,0,0,0,eng
"Oh, ahora es realmente extraño...",spa,0,0,0,0,0,0,0,0,0,spa
हम बात कर सकते हैं क्या?,hin,0,0,0,0,0,0,0,0,0,hin
It's a pity that you can't buy miracles like you would buy potatoes.,eng,0,0,0,0,0,0,0,0,0,eng
मैं पानी के बिना इन गोलियों को निगल नहीं सकती।,hin,0,0,0,0,0,0,0,0,0,hin
"जब बारिश होती है, तो ज़बरदस्त होती है।",hin,0,0,0,0,0,0,0,0,0,hin
Mis padres siguen discutiendo por estupideces. ¡Es tan molesto!,spa,0,0,0,0,0,0,0,0,0,spa
इस कमरे में मेज़ है।,hin,1,0,0,0,0,0,0,0,1,hin
इस परिस्थिति में कठोर कदम उठाने होंगे।,hin,0,0,0,0,0,0,0,0,0,hin
அவனுக்கு நீச்சல் மீது பற்று உண்டு,tam,0,0,0,0,0,0,0,0,0,tam
"You lied to me, didn't you?",eng,0,0,0,0,0,0,0,0,0,eng
战争永远谈不上好，和平永远谈不上坏。,cmn,0,0,0,0,0,0,0,0,0,cmn
"Now that you are grown-up, you ought to know better.",eng,0,0,0,0,0,0,0,0,0,eng
पढ़के सुनाओ।,hin,0,0,0,0,0,0,0,0,0,hin
मैं अक्ल का मारा था जो तुम्हें वह समझाने की कोशिश करने बैठा जिसकी मुझे खुद ही समझ नहीं थी।,hin,1,0,0,0,0,0,0,0,1,hin
हमारी चिंता मत करो।,hin,1,0,0,0,0,0,0,0,1,hin
कल मैं पूरे दिन बिस्तर में था।,hin,0,0,0,0,0,0,0,0,0,hin
¿Por qué casarse con una mujer si le gustan los hombres?,spa,0,0,1,0,0,0,0,0,1,spa
उसने हमारा प्रस्ताव स्वीकार कर लिया।,hin,1,0,0,0,0,0,0,0,1,hin
He ayudado a mis padres con las tareas domésticas.,spa,0,0,0,0,0,0,0,0,0,spa
It's driving me crazy.,eng,0,0,1,0,0,1,0,0,1,eng
La calle estaba desierta después de las diez.,spa,1,0,0,0,0,0,0,0,1,spa
多美好的家庭啊！,cmn,0,0,0,0,0,0,0,0,0,cmn
"चल पड़ने के समय ""टन टन"" घंटी सी आवाज़ करती है, इस ही लिए ""टन टन"" गाड़ी बुलाई जाती है।",hin,0,0,0,0,0,0,0,0,0,hin
मैं ट्रैफ़िक जैम में फँस गया था।,hin,0,0,0,0,0,0,0,0,0,hin
முட்டாள்!,tam,0,0,1,0,0,1,0,0,1,tam
मुझे नहीं पता कि यह चिट्ठी किसने लिखी है।,hin,0,0,0,0,0,0,0,0,0,hin
Me gusta mucho mi trabajo.,spa,0,0,0,0,0,0,0,0,0,spa
Él es médico y también escritor de novelas.,spa,0,0,0,0,0,0,0,0,0,spa
Tom躲在桌子底下。,cmn,0,0,0,0,0,0,0,0,0,cmn
तुम राज़ रख सकते हो क्या?,hin,0,0,0,0,0,0,0,0,0,hin
You are way off track.,eng,0,0,0,0,0,0,0,0,0,eng
你回来之前我已经走了。,cmn,0,0,0,0,0,0,0,0,0,cmn
हमारे माता-पिता ने हमारी देखभाल की थी और अब हमारी बारी है उनकी देखभाल करने की।,hin,1,0,0,0,0,0,0,0,1,hin
"Hey, look, a three-headed monkey!",eng,0,0,0,0,0,0,0,0,0,eng
जंग की वजह से बहुत सारे लोग मर गए।,hin,1,0,0,0,0,0,0,0,1,hin
Este reloj no funciona.,spa,0,0,0,0,0,0,0,0,0,spa
The archer killed the deer.,eng,1,0,0,0,0,0,0,0,1,eng
நீ கோபமாக இருப்பாய் என்று எண்ணினேன்.,tam,0,0,0,0,0,0,0,0,0,tam
उसने मुझे अपना कमरा दिखाया।,hin,1,0,0,0,0,0,0,0,1,hin
Una mujer me preguntó por una calle.,spa,0,0,1,0,0,0,0,0,1,spa
我能休息一会儿吗？,cmn,0,0,0,0,0,0,0,0,0,cmn
मैं थोड़ी जापानी बोलना जानता हूँ।,hin,0,0,0,0,0,0,0,0,0,hin
Have you finished doing your homework yet?,eng,0,0,0,0,0,0,0,0,0,eng
पक्षी घोसले बनातें हैं।,hin,0,0,0,0,0,0,0,0,0,hin
धरती सूरज की परिक्रमा करती है।,hin,0,0,0,0,0,0,0,0,0,hin
Nadie me prestó ayuda.,spa,1,0,0,0,0,0,0,0,1,spa
நீ எவ்வகையான விளையாட்டை ஆடுகிறாய்?,tam,0,0,0,0,0,0,0,0,0,tam
Entre los invitados a la fiesta había dos mujeres extranjeras.,spa,0,0,1,0,0,0,0,0,1,spa
Tengo resaca.,spa,0,0,0,0,0,0,0,0,0,spa
तुम्हें मैं याद हूँ क्या?,hin,0,0,0,0,0,0,0,0,0,hin
"No, I cannot let you in, there's one person too many.",eng,0,0,1,0,0,0,0,0,1,eng
वह बीमारी की वजह से नहीं आ सका।,hin,1,0,0,0,0,0,0,0,1,hin
You seem to be an honest man.,eng,0,0,1,0,0,0,0,0,1,eng
वह कमरे में कूद-फदक कर रहा था।,hin,1,0,0,0,0,0,0,0,1,hin
这男人和他妻子互相帮助。,cmn,0,0,1,0,0,0,0,0,1,cmn
"वह छुपाछुपी कमरे से निकला, किसी ने भी उसको नहीं देखा।",hin,1,0,0,0,0,0,0,0,1,hin
¿Me has echado de menos?,spa,0,0,0,0,0,0,0,0,0,spa
¿Dónde está corriendo él ahora?,spa,0,0,0,0,0,0,0,0,0,spa
Rodaron la película en un verdadero desierto.,spa,0,0,0,0,0,0,0,0,0,spa
கருணை காட்டுங்கள்!,tam,0,0,0,0,0,0,0,0,0,tam
他讲不好法语。,cmn,0,0,0,0,0,0,0,0,0,cmn
தொடர்பில் இரு,tam,0,0,0,0,0,0,0,0,0,tam
Me sorprendieron las noticias inesperadas.,spa,1,0,0,0,0,0,0,0,1,spa
今天早上，我吃了面包夹黄油。,cmn,0,0,0,0,0,0,0,0,0,cmn
你要更好地利用闲暇时间。,cmn,0,0,0,0,0,0,0,0,0,cmn
Do you think mankind will someday colonize the Moon?,eng,0,0,1,0,0,0,0,0,1,eng
Les dije que me mandaran otro boleto.,spa,0,0,0,0,0,0,0,0,0,spa
不，我不是！你才是！,cmn,0,0,0,0,0,0,0,0,0,cmn
एसी बहुत आवाज़ करता है।,hin,0,0,0,0,0,0,0,0,0,hin
"Uh, now it's really weird...",eng,0,0,0,0,0,0,0,0,0,eng
不管问了什么，她都能回答。,cmn,0,0,0,0,0,0,0,0,0,cmn
He visitado la tumba de mi padre.,spa,0,0,0,0,0,0,0,0,0,spa
"He was born on July 28th, 1888.",eng,0,0,0,0,0,0,0,0,0,eng
मैं सात बजे सोकर उठता हूँ।,hin,0,0,0,0,0,0,0,0,0,hin
Do you believe in God?,eng,0,0,0,0,0,0,0,0,0,eng
I think you'd better go on a diet.,eng,1,0,0,0,0,0,0,0,1,eng
எலியைக் கொல்லாதே!,tam,1,0,0,0,0,0,0,0,1,tam
क्या मैं कमरा साफ़ कर सकती हूँ?,hin,1,0,0,0,0,0,0,0,1,hin
How did you come to know her?,eng,0,0,0,0,0,0,0,0,0,eng
There are many words that I don't understand.,eng,0,0,1,0,0,0,0,0,1,eng
वे इंग्लैंड के एक छोटे से गाँव में रहते हैं।,hin,0,0,0,0,0,0,0,0,0,hin
"Every time I join a new game of Warcraft, I am pitted against a new team of adversaries.",eng,0,0,0,0,0,0,0,0,0,eng
इस सवाल के सारे जवाब ग़लत थे।,hin,0,0,0,0,0,0,0,0,0,hin
சியோனிஸ்ட் திட்டம் 19ஆம் நூற்றாண்டின் பிற்பகுதியிலேயே ஆரம்பித்துவிட்டது.,tam,0,0,0,0,0,0,0,0,0,tam
Have you ever seen a UFO?,eng,0,0,0,0,0,0,0,0,0,eng
你昨天看到的那个男人是我叔叔。,cmn,0,0,1,0,0,0,0,0,1,cmn
我好胖哦。,cmn,0,0,0,0,0,0,0,0,0,cmn
मेरी दोनो बहनें शादीशुदा हैं।,hin,0,0,0,0,0,0,0,0,0,hin
我们尽情在湖里游泳。,cmn,0,0,0,0,0,0,0,0,0,cmn
I don't understand German.,eng,0,0,1,0,0,0,0,0,1,eng
आप थोड़ा आगे खिसक सकते हैं क्या?,hin,0,0,0,0,0,0,0,0,0,hin
My parents keep arguing about stupid things. It's so annoying!,eng,0,0,1,0,0,1,0,0,1,eng
Él también habla francés.,spa,0,0,0,0,0,0,0,0,0,spa
春天和秋天，你更喜欢哪个？,cmn,0,0,0,0,0,0,0,0,0,cmn
锄强扶弱，惩恶扬善。,cmn,0,0,0,0,0,0,0,0,0,cmn
What a man you are!,eng,0,0,1,0,0,0,0,0,1,eng
I don't want to spend the rest of my life regretting it.,eng,0,0,0,0,0,0,0,0,0,eng
Voy a demostrarte que no estoy equivocado.,spa,0,0,0,0,0,0,0,0,0,spa
"My friends always say I'm too calm, but my family always says I'm too annoying.",eng,0,0,0,0,0,0,0,0,0,eng
Pero no es necesario quedarse hasta el final.,spa,0,0,0,0,0,0,0,0,0,spa
உங்களுக்கு எத்தனை குழந்தைகள்?,tam,0,0,0,0,0,0,0,0,0,tam
I have to go to sleep.,eng,0,0,0,0,0,0,0,0,0,eng
"मैं तीन दिनों से नहीं सोया हूँ, बस थकान से मरा जा रहा हूँ।",hin,1,0,0,0,0,0,0,0,1,hin
"In business today, too many executives spend money they haven't earned, to buy things they don't need, to impress people they don't even like.",eng,0,0,1,0,0,0,0,0,1,eng
The statue of the Minute Man commemorates the valiant soldiers who fought in the Revolutionary War.,eng,1,0,1,0,0,0,0,0,1,eng
आज सुबह मौसम इतना खराब था कि मुझे टैक्सी लेनी पड़ी।,hin,0,0,0,0,0,0,0,0,0,hin
कहा जाता है कि औरतों की उम्र आदमियों से ज़्यादा लम्बी होती है।,hin,0,0,1,0,0,0,0,0,1,hin
हमारी मीटिंग कभी-कभार ही टाईम पर शुरू होती है।,hin,1,0,0,0,0,0,0,0,1,hin
बाएं मुड़ो और तुम्हें एक कैफ़े मिलेगा।,hin,0,0,0,0,0,0,0,0,0,hin
一个丑男人敲了我的门。,cmn,0,0,1,0,0,0,0,0,1,cmn
"Yo nunca pensé en eso, dijo el hombre mayor. ""¿Qué deberíamos hacer?""",spa,0,0,1,0,0,0,0,0,1,spa
想吃多少饼干就吃多少。,cmn,0,0,0,0,0,0,0,0,0,cmn
She was wearing a black hat.,eng,0,0,0,1,0,0,0,0,1,eng
वह अपने कमरे में रो रही थी।,hin,1,0,0,0,0,0,0,0,1,hin
What are you going to be?,eng,0,0,0,0,0,0,0,0,0,eng
न उसको फ़्रानसीसी बोलनी आती है न मुझे।,hin,0,0,0,0,0,0,0,0,0,hin
他狼吞虎咽地吃了一顿。,cmn,0,0,0,0,0,0,0,0,0,cmn
"你有几个姐姐,几个哥哥?",cmn,0,0,0,0,0,0,0,0,0,cmn
你是我的一切。,cmn,0,0,0,0,0,0,0,0,0,cmn
狗的嗅觉灵敏。,cmn,0,0,0,0,0,0,0,0,0,cmn
நம்ப முடியவில்லை!,tam,0,0,0,0,0,0,0,0,0,tam
他和她一样高。,cmn,0,0,0,0,0,0,0,0,0,cmn
During winter I sleep with two blankets.,eng,0,0,0,0,0,0,0,0,0,eng
ஒரு நாயின் படத்தை வரைந்தான்,tam,0,0,0,0,0,0,0,0,0,tam
बारह बजने वाले हैं।,hin,0,0,0,0,0,0,0,0,0,hin
¿Aún te sigues preguntando cuál es el sentido de la vida?,spa,0,0,0,0,0,0,0,0,0,spa
मैंने उसे तीन बार देखा है।,hin,0,0,0,0,0,0,0,0,0,hin
I managed to get in.,eng,0,0,1,0,0,0,0,0,1,eng
El carácter obligatorio de la escolaridad es rara vez analizado en la multitud de trabajos dedicados al estudio de las varias maneras de desarrollar en los niños el deseo de aprender.,spa,0,0,0,0,0,0,0,0,0,spa
चाहे जो भी हो आत्महत्या मत करना!,hin,1,0,0,0,0,0,0,0,1,hin
Las niñas estaban sentadas una al lado de otra.,spa,0,0,0,0,0,0,0,0,0,spa
दरवाज़े पर एक आदमी दिखाई दिया।,hin,0,0,1,0,0,0,0,0,1,hin
No puede ser que lo haya escrito ella misma.,spa,0,0,0,0,0,0,0,0,0,spa
Me gustaría poder hablar un poco.,spa,0,0,0,0,0,0,0,0,0,spa
"Quien busca, encuentra.",spa,0,0,0,0,0,0,0,0,0,spa
Blind people sometimes develop a compensatory ability to sense the proximity of objects around them.,eng,0,0,0,0,0,1,0,0,1,eng
我不知道它是从哪里来的。,cmn,0,0,0,0,0,0,0,0,0,cmn
उसने दरवाज़े पर खटखटाया।,hin,0,0,0,0,0,0,0,0,0,hin
Entonces tenemos un problema...,spa,0,0,0,0,0,0,0,0,0,spa
Ellos lo dieron por muerto.,spa,1,0,0,0,0,0,0,0,1,spa
All you have to do is do your best.,eng,0,0,0,0,0,0,0,0,0,eng
她认为计划很好，但不可行。,cmn,0,0,0,0,0,0,0,0,0,cmn
मैंने उस औरत को गुस्सा दिलाया।,hin,0,0,1,0,0,0,0,0,1,hin
மயிர்.,tam,0,0,0,0,0,0,0,0,0,tam
I may give up soon and just nap instead.,eng,0,0,0,0,0,0,0,0,0,eng
"Hey, I may have no money, but I still have my pride.",eng,0,0,0,0,0,0,0,0,0,eng
वह चिट्ठी को डाक में डालना भूल गई।,hin,0,0,0,0,0,0,0,0,0,hin
There is no distance on this earth as far away as yesterday.,eng,0,0,0,0,0,0,0,0,0,eng
怎么了？,cmn,0,0,0,0,0,0,0,0,0,cmn
It's lonely in the saddle since the horse died.,eng,1,0,0,0,0,0,0,0,1,eng
I need your advice.,eng,0,0,0,0,0,0,0,0,0,eng
我胃疼。,cmn,0,0,0,0,0,0,0,0,0,cmn
Me estaba preguntando si vendrías hoy.,spa,0,0,0,0,0,0,0,0,0,spa
You are as tall as I am.,eng,0,0,0,0,0,0,0,0,0,eng
Llevaba un sombrero negro.,spa,0,0,0,1,0,0,0,0,1,spa
Él me mintió.,spa,0,0,0,0,0,0,0,0,0,spa
वह क्लास में हमेशा देर से आता है।,hin,0,0,0,0,0,0,0,0,0,hin
他的包就在这儿，所以他不可能已经去了学校。,cmn,0,0,0,0,0,0,0,0,0,cmn
Ella asumió toda la responsabilidad de sus actos.,spa,0,0,0,0,0,0,0,0,0,spa
Pasó una semana antes que Jane se mejorara de su resfrío.,spa,0,0,0,0,0,0,0,0,0,spa
जैसा करना वैसा भरना।,hin,0,0,0,0,0,0,0,0,0,hin
