text,language,original_language,violence,directed_vs_generalized,gender,race,national_origin,disability,religion,sexual_orientation,isHate
"When I left the train station, I saw a man.",eng,eng,0,0,1,1,0,0,0,0,1
Have you visited the town where your father was born?,eng,eng,0,0,0,0,0,0,0,0,0
Don't take that dramatic attitude all of a sudden.,eng,eng,0,0,0,0,0,0,0,0,0
नया क्या है?,hin,hin,0,0,0,0,0,0,0,0,0
वह मानता था कि पृथ्वी गोल है।,hin,hin,0,0,0,0,0,0,0,0,0
बस हर दस मिनिटों में रवाना होती है।,hin,hin,0,0,0,0,0,0,0,0,0
He has a hungry look.,eng,eng,0,0,0,0,0,0,0,0,0
La niña insistió para que la llevaran al zoológico.,spa,spa,0,0,0,1,0,0,0,0,1
हर घर में बगीचा था।,hin,hin,0,0,0,0,0,0,0,0,0
तुम मर हो,hin,hin,1,0,0,0,0,0,0,0,1
為免丟失，你應該把信件掛號。,cmn,cmn,0,0,0,0,0,0,0,0,0
What you've just told me chimes in with what I heard yesterday.,eng,eng,0,0,0,1,0,0,0,0,1
You needn't have taken a taxi.,eng,eng,0,0,0,0,0,0,0,0,0
¿Qué estás haciendo?,spa,spa,0,0,0,1,0,0,0,0,1
Ella más que una amiga es una conocida.,spa,spa,0,0,0,0,0,0,0,0,0
我想我懂了。,cmn,cmn,0,0,0,0,0,0,0,0,0
You are dumb,eng,eng,0,0,0,0,0,1,0,0,1
वह अंग्रेज़ी सीखने विदेश चला गया।,hin,hin,0,0,0,0,0,0,0,0,0
There were no tickets available for Friday's performance.,eng,eng,0,0,1,0,0,0,0,0,1
You are guilty of murder.,eng,eng,1,0,0,0,0,0,0,0,1
Carl，你被钱迷住了。,cmn,cmn,0,0,0,0,0,0,0,0,0
Parece que los precios volverán a subir.,spa,spa,0,0,0,0,0,0,0,0,0
I'll show you how to catch fish.,eng,eng,0,0,0,0,0,0,0,0,0
全体销售人员通宵达旦地工作了一周。,cmn,cmn,0,0,0,0,0,0,0,0,0
You must judge for yourself.,eng,eng,0,0,0,1,0,0,0,0,1
Me gusta leer novelas policiacas.,spa,spa,0,0,0,1,0,0,0,0,1
क्या आपकी बहन वहां रहती है?,hin,hin,0,0,0,0,0,0,0,0,0
चूहा ज़िन्दा है या मर गया है?,hin,hin,1,0,0,0,0,0,0,0,1
Si yo pudiera ser así...,spa,spa,1,0,0,0,0,0,0,0,1
Tú sabes cantar canciones.,spa,spa,0,0,0,0,0,0,0,0,0
वह बाज़ार हर सोमवार को लगता है।,hin,hin,0,0,0,0,0,0,0,0,0
别忘了在你的信上贴张邮票。,cmn,cmn,0,0,0,0,0,0,0,0,0
我尽快需要。,cmn,cmn,0,0,0,0,0,0,0,0,0
"Por favor, ten más cuidado en el futuro.",spa,spa,0,0,0,0,0,0,0,0,0
"If I were in your situation, I would do the same thing.",eng,eng,0,0,0,0,0,0,0,0,0
要变得完美，她就是少了一个缺点。,cmn,cmn,0,0,0,0,0,0,0,0,0
All of you did good work.,eng,eng,0,0,0,0,0,0,0,0,0
我一点都不知道这会给你带来那么多问题。,cmn,cmn,0,0,0,0,0,0,0,0,0
तुम मेरे भय्या मसाओ को जानते हो क्या?,hin,hin,0,0,0,0,0,0,0,0,0
Muéstrame eso.,spa,spa,0,0,0,1,0,0,0,0,1
"Ven aquí, John.",spa,spa,0,0,0,0,0,0,0,0,0
அவன் ஓட விருப்பப் படுகிறான்,tam,tam,0,0,0,0,0,0,0,0,0
"From the doctor's grim expression, it was clear he had somber news for the patient.",eng,eng,0,0,0,0,0,0,0,0,0
我觉得他是医生。,cmn,cmn,0,0,0,0,0,0,0,0,0
I prefer staying home to going fishing.,eng,eng,0,0,0,1,0,0,0,0,1
उसने मक्खन को ब्रेड पर लगाया।,hin,hin,0,0,0,0,0,0,0,0,0
They sell fish and meat.,eng,eng,0,0,0,0,0,0,0,0,0
"¡No fui yo, comisario!",spa,spa,0,0,0,0,0,0,0,0,0
"Sí, por lo visto fue mala diagnosis.",spa,spa,0,0,1,1,0,0,0,0,1
"All of a sudden, large drops of rain began falling from the dark sky.",eng,eng,0,0,0,0,0,0,0,0,0
Ella presentó su terrier al concurso canino.,spa,spa,0,0,0,0,0,0,0,0,0
"You don't like chocolate, do you?",eng,eng,0,0,0,0,0,0,0,0,0
ताज़ी सब्ज़ियाँ सेहत के लिए अच्छी होतीं हैं।,hin,hin,0,0,0,0,0,0,0,0,0
Education means something more than going to school.,eng,eng,0,0,0,1,0,0,0,0,1
तुम कैसे इनसान हो जो इस तरह के काम कर सकते हो?,hin,hin,0,0,1,0,0,0,0,0,1
This is what I would have said.,eng,eng,0,0,0,0,0,0,0,0,0
Él se sopló las puntas de los dedos.,spa,spa,0,0,0,0,0,0,0,0,0
न्यू ज़ीलंड का दूतावास कहां है?,hin,hin,0,0,0,0,0,0,0,0,0
सब्ज़ियाँ काटने के बाद वहाँ रख दो। पता नहीं इन्हें कब आ कर पकाऊँगी।,hin,hin,1,0,0,0,0,0,0,0,1
Bob me ayudó.,spa,spa,0,0,0,0,0,0,0,0,0
在我有生之年，共產主義不可能達到。,cmn,cmn,0,0,0,0,0,0,0,0,0
"Trust me, he said.",eng,eng,0,0,0,1,0,0,0,0,1
मैं ट्रैफ़िक जैम में फँस गया था।,hin,hin,0,0,0,0,0,0,0,0,0
"Cuando ves televisión o escuchas la radio, la música que oyes es frecuentemente de origen africano.",spa,spa,0,0,0,1,0,0,0,0,1
आपको दर्द सहना ही पड़ेगा।,hin,hin,0,0,0,0,0,0,0,0,0
मैं अपने काम से ध्यान हटाना चाहता हूँ।,hin,hin,0,0,1,0,0,0,0,0,1
वह रूसी बोलना और लिखना दोनो जानता है।,hin,hin,0,0,0,0,0,0,0,0,0
You must rid yourself of bad habits.,eng,eng,0,0,1,1,0,0,0,0,1
La televisión ocupa un lugar importante en el diario vivir.,spa,spa,0,0,0,0,0,0,0,0,0
¿Qué hacemos para cenar?,spa,spa,0,0,0,0,0,0,0,0,0
"वह फ़्रानसीसी बोल सकती है, और बहुत धड़ल्ले से बोलती है।",hin,hin,0,0,0,0,0,0,0,0,0
¿Cree usted en los fantasmas?,spa,spa,0,0,0,1,0,0,0,0,1
You had better call off your plan.,eng,eng,0,0,0,0,0,0,0,0,0
Mi padre usualmente viaja a los Estados Unidos por asuntos de negocios.,spa,spa,0,0,0,1,0,0,0,0,1
你是一个性,cmn,cmn,0,0,1,0,0,0,0,0,1
Voy a estar por aquí un rato.,spa,spa,0,0,0,1,0,0,0,0,1
La manzana está madura.,spa,spa,0,0,0,1,0,0,0,0,1
Este es un libro.,spa,spa,0,0,0,1,0,0,0,0,1
他网球打得很烂。,cmn,cmn,1,0,0,0,0,0,0,0,1
I always have to check my yard for stagnant pools of water so mosquitoes don't breed there.,eng,eng,0,0,0,1,0,0,0,0,1
Muchas tradiciones antiguas se van perdiendo progresivamente.,spa,spa,1,0,0,0,0,0,0,0,1
Usualmente se pide a las visitas que se saquen los zapatos antes de entrar a una casa japonesa.,spa,spa,0,0,0,0,0,0,0,0,0
बेशर्म मर मुसलमान,hin,hin,1,0,1,0,0,0,1,0,1
Forjaron una estatua de bronce.,spa,spa,0,0,0,1,0,0,0,0,1
कम्पनी ने कितनी गाड़ियाँ ख़रीदीं हैं?,hin,hin,0,0,0,0,0,0,0,0,0
现今人们没有空调无法生活。,cmn,cmn,0,0,0,0,0,0,0,0,0
Eres sc,spa,spa,0,0,0,1,0,0,0,0,1
You must keep your room clean.,eng,eng,0,0,0,1,0,0,0,0,1
Even the smallest worm will turn if trodden on.,eng,eng,0,0,0,1,0,0,0,0,1
你去过京都吗？,cmn,cmn,0,0,0,0,0,0,0,0,0
¿Cuántas horas de sueño necesitas?,spa,spa,0,0,0,0,0,0,0,0,0
那是我说过的最愚蠢的话了。,cmn,cmn,0,0,1,0,0,1,0,0,1
她无法直视我的脸。,cmn,cmn,0,0,0,0,0,0,0,0,0
"In a town you may pass unnoticed, whereas in a village it's impossible.",eng,eng,0,0,0,0,0,0,0,0,0
It was a heartbreaking story.,eng,eng,0,0,0,1,0,0,0,0,1
Últimamente John está bebiendo demasiado.,spa,spa,0,0,0,1,0,0,0,0,1
The storm broke.,eng,eng,0,0,0,1,0,0,0,0,1
इन नियमों को याद रखिए।,hin,hin,0,0,0,0,0,0,0,0,0
Ella fuma veinte cigarrillos al día.,spa,spa,0,0,0,0,0,0,0,0,0
¿Cabe la posibilidad de que ella perdiera el tren?,spa,spa,1,0,0,0,0,0,0,0,1
Estoy bastante complacido contigo.,spa,spa,0,0,0,1,0,0,0,0,1
El bebé se quedó dormido en la cuna.,spa,spa,0,0,0,0,0,0,0,0,0
我打电话的时候，她刚回到家。,cmn,cmn,1,0,0,0,0,0,0,0,1
You are woman,eng,eng,0,0,1,0,0,0,0,0,1
Él cayó rodando por la escalera.,spa,spa,0,0,0,1,0,0,0,0,1
La recesión es un periodo de disminución temporal de la actividad económica en medio de un período en cual actividad generalmente está aumentando.,spa,spa,0,0,0,1,0,0,0,0,1
Haven't you got any money?,eng,eng,0,0,0,0,0,0,0,0,0
"तुम जो भी कहो, मैं तो उससे शादी कर के ही रहूँगा।",hin,hin,0,0,0,0,0,0,0,0,0
检查一下！,cmn,cmn,0,0,0,0,0,0,0,0,0
他很凶。,cmn,cmn,0,0,0,0,0,0,0,0,0
Las motos pueden ser peligrosas de conducir para la gente joven.,spa,spa,0,0,0,0,0,0,0,0,0
Me olvidarás algún día.,spa,spa,0,0,0,0,0,0,0,0,0
मेरे माता-पिता के विवाह विच्छेद के हालात उनके काम के प्रति अत्याधिक लगाव से पैदा हुए थे।,hin,hin,0,0,1,0,0,0,0,0,1
The end of money is the end of love.,eng,eng,0,0,0,0,0,0,0,0,0
"First, you have to stop smoking.",eng,eng,0,0,0,1,0,0,0,0,1
I have a nice present to give you.,eng,eng,0,0,0,0,0,0,0,0,0
मैंने उसको पैसे देने की कोशिश करी पर उसने इनकार कर दिया।,hin,hin,0,0,0,0,0,0,0,0,0
請不要再想這事了。,cmn,cmn,0,0,0,0,0,0,0,0,0
那是你的责任。,cmn,cmn,0,0,0,0,0,0,0,0,0
不遵守承諾是可恥的。,cmn,cmn,0,0,0,0,0,0,0,0,0
इस और उस में क्या अंतर है?,hin,hin,0,0,0,0,0,0,0,0,0
I wish our classroom were air-conditioned.,eng,eng,0,0,0,0,0,0,0,0,0
The bank isn't open on Sundays.,eng,eng,0,0,0,0,0,0,0,0,0
Did you say that I could never win?,eng,eng,0,0,0,0,0,0,0,0,0
You're sick. You have to rest.,eng,eng,0,0,0,1,0,0,0,0,1
Ella me mostro su álbum.,spa,spa,0,0,0,1,0,0,0,0,1
Hoy me siento bien.,spa,spa,0,0,0,0,0,0,0,0,0
उसे ये कमीज़ें धुलवानीं हैं।,hin,hin,0,0,0,0,0,0,0,0,0
What made you change your mind?,eng,eng,0,0,0,0,0,0,0,0,0
La clase de historia comienza a las nueve.,spa,spa,0,0,0,1,0,0,0,0,1
तुम्हारा कुत्ता बहुत बड़ा है।,hin,hin,0,0,0,0,0,0,0,0,0
¿Está el Sr. Jones en la oficina?,spa,spa,0,0,0,1,0,0,0,0,1
"Pon tus esquís en forma de ""V"" invertida.",spa,spa,0,0,0,0,0,0,0,0,0
You should apologize.,eng,eng,0,0,0,0,0,0,0,0,0
वह उस दरवाज़े से धीरे से कमरे में घुसा।,hin,hin,1,0,0,0,0,0,0,0,1
I hope you have brains enough to see the difference.,eng,eng,0,0,0,0,0,0,0,0,0
他会说英语和法语。,cmn,cmn,0,0,0,0,0,0,0,0,0
Esa editorial está especializada en literatura infantil.,spa,spa,0,0,0,1,0,0,0,0,1
愛和和平。,cmn,cmn,0,0,0,0,0,0,0,0,0
मेरा भाई टोक्यो में रहता है।,hin,hin,0,0,0,0,0,0,0,0,0
你應該小心選擇朋友。,cmn,cmn,0,0,0,0,0,0,0,0,0
तुम दुष्ट हो,hin,hin,0,0,1,0,0,0,0,0,1
Those present were surprised at the news.,eng,eng,0,0,0,0,0,0,0,0,0
Mi hermana menor se casó antes de los 20.,spa,spa,0,0,0,0,0,0,0,0,0
मुश्किल क्या है?,hin,hin,0,0,0,0,0,0,0,0,0
Lo que soy hoy en día se lo debo a mi tío.,spa,spa,0,0,0,0,0,0,0,0,0
Los visitantes son bienvenidos.,spa,spa,0,0,0,0,0,0,0,0,0
让我知道我是否需要改变。,cmn,cmn,0,0,0,0,0,0,0,0,0
Me gusta la sencillez del vestido de ella.,spa,spa,0,0,0,1,0,0,0,0,1
诚信是一种重要的美德。,cmn,cmn,0,0,0,0,0,0,0,0,0
तुम्हारी क्रिसमस अच्छी मनी क्या?,hin,hin,0,0,0,0,0,0,0,0,0
You have to account for the result.,eng,eng,0,0,0,0,0,0,0,0,0
"Porque Dios no ha enviado a su Hijo al mundo para juzgar al mundo, sino para que el mundo se salve por él.",spa,spa,0,0,0,0,0,0,0,0,0
Your opinion is similar to mine.,eng,eng,0,0,0,0,0,0,0,0,0
நீ கெட்ட ஆக இருக்கிறாய்,tam,tam,0,0,1,0,0,0,0,0,1
Why aren't you coming with us?,eng,eng,0,0,0,0,0,0,0,0,0
我的房里有部电话。,cmn,cmn,0,0,0,0,0,0,0,0,0
"Después de muchos años de ganancias que disminuían, la compañía cerró.",spa,spa,0,0,0,0,0,0,0,0,0
我大概懂了。,cmn,cmn,0,0,0,0,0,0,0,0,0
निकम्मे लोग सिर्फ खाने पीने के लिए जीते हैं।,hin,hin,0,0,0,0,0,0,0,0,0
你覺得有多少人懂得欣賞音樂？,cmn,cmn,0,0,0,0,0,0,0,0,0
You startled me!,eng,eng,0,0,0,1,0,0,0,0,1
没什么好怕的。,cmn,cmn,0,0,0,0,0,0,0,0,0
I didn't like it.,eng,eng,0,0,0,0,0,0,0,0,0
मैं अपनी कमाई से संतुष्ट हूँ।,hin,hin,0,0,0,0,0,0,0,0,0
My stomach is clenched with hunger.,eng,eng,0,0,0,1,0,0,0,0,1
我愛她愛得要命。,cmn,cmn,0,0,0,0,0,0,0,0,0
You must make allowance for his lack of experience.,eng,eng,0,0,0,1,0,0,0,0,1
¿Estás libre al salir de clase?,spa,spa,0,0,0,1,0,0,0,0,1
Metal contracts when cooled.,eng,eng,0,0,0,0,0,0,0,0,0
I have absolute trust in you.,eng,eng,0,0,0,1,0,0,0,0,1
El aceite no se mezcla con el agua.,spa,spa,0,0,0,0,0,0,0,0,0
Él se marchó de aquí hace dos o tres días.,spa,spa,0,0,0,0,0,0,0,0,0
His face is distorted by pain.,eng,eng,0,0,0,1,0,0,0,0,1
मैं सोच रहा हूँ कि नौकरी लूँ या नहीं लूँ।,hin,hin,0,0,0,0,0,0,0,0,0
請給我一塊毛毯。,cmn,cmn,0,0,0,0,0,0,0,0,0
"As it was printed in haste, the book has many misprints.",eng,eng,0,0,1,1,0,0,0,0,1
You must not go out today.,eng,eng,0,0,0,1,0,0,0,0,1
「你可以幫忙把門關上嗎？」「可以，當然可以。」,cmn,cmn,0,0,0,0,0,0,0,0,0
उसने प्रकृति के प्रति अपनी भावनाओं को प्रकट किया।,hin,hin,0,0,0,0,0,0,0,0,0
अब मेरे पास बहुत थोड़े पैसे हैं।,hin,hin,0,0,0,0,0,0,0,0,0
I saw something strange in the sky.,eng,eng,0,0,0,1,0,0,0,0,1
वह बस अभी आता होगा।,hin,hin,0,0,0,0,0,0,0,0,0
बिजली गई हुई है।,hin,hin,0,0,0,0,0,0,0,0,0
मेरी लुंड उसके लिए खड़ी हो गई है।,hin,hin,0,0,0,0,0,0,0,0,0
"When you're in a hurry, it's easy to make a mistake.",eng,eng,0,0,0,1,0,0,0,0,1
"At this hour, there is incredible traffic.",eng,eng,0,0,0,0,0,0,0,0,0
நீ துஷ்ட ஆக இருக்கிறாய்,tam,tam,0,0,1,0,0,0,0,0,1
“您想买什么？”“我想买条狗。”,cmn,cmn,0,0,0,0,0,0,0,0,0
How long will you stay here?,eng,eng,0,0,0,1,0,0,0,0,1
वह ऐसी चीज़ कर ही नहीं सकता।,hin,hin,0,0,0,0,0,0,0,0,0
Tengo mala vista.,spa,spa,0,0,1,1,0,0,0,0,1
"Al tener padre norteamericano y madre francesa, ella habla dos idiomas.",spa,spa,0,0,0,0,0,0,0,0,0
நாம எல்லார்கிட்டயும் சொல்ல வேண்டாம்.,tam,tam,0,0,0,0,0,0,0,0,0
他是个网球球手。,cmn,cmn,0,0,0,0,0,0,0,0,0
Yo no podría estar ni un sólo día sin este diccionario.,spa,spa,0,0,0,1,0,0,0,0,1
Anything that is too stupid to be spoken is sung.,eng,eng,0,0,1,1,0,1,0,0,1
我穿了件外套，因为今天早上有点冷。,cmn,cmn,0,0,0,0,0,0,0,0,0
मैंने सुना है कि वे मश्हूर अभिनेत्री हैं।,hin,hin,0,0,0,0,0,0,0,0,0
Aquél es el cuadro que él pintó.,spa,spa,0,0,0,0,0,0,0,0,0
I'll find someone to fill in for you.,eng,eng,0,0,0,0,0,0,0,0,0
每年世界人口都有 2% 的平均增長。,cmn,cmn,0,0,0,0,0,0,0,0,0
她住在倫敦。,cmn,cmn,0,0,0,0,0,0,0,0,0
Me duele el estómago.,spa,spa,0,0,0,1,0,0,0,0,1
"Para empeorar las cosas, su esposa se enfermó.",spa,spa,0,0,0,0,0,0,0,0,0
வா எங்களுக்கு உதவி செய்,tam,tam,0,0,0,0,0,0,0,0,0
उसने मुझे मेरे पैसे नहीं लौटाए।,hin,hin,0,0,0,0,0,0,0,0,0
说汉语的人都在吗?,cmn,cmn,0,0,0,0,0,0,0,0,0
"साले, तू क्या कर रहा है?",hin,hin,0,0,0,0,0,0,0,0,0
他是日本最伟大的艺术家之一。,cmn,cmn,0,0,0,0,0,0,0,0,0
சாமிக்கு ஒரு உள்ளுணர்வு இருந்தது.,tam,tam,0,0,0,0,0,0,0,0,0
मुझे टूथपेस्ट कहाँ मिल सकता है?,hin,hin,0,0,0,0,0,0,0,0,0
I will come on Monday unless you write to the contrary.,eng,eng,0,0,0,0,0,0,0,0,0
Ese chico fue admitido en la escuela.,spa,spa,0,0,0,1,0,0,0,0,1
Él está escribiendo una novela nueva.,spa,spa,0,0,0,1,0,0,0,0,1
Creo que es como él dice.,spa,spa,0,0,0,0,0,0,0,0,0
¿Esta pintura la ha pintado él mismo?,spa,spa,0,0,0,1,0,0,0,0,1
वह क्या है जो तुम मुझसे पूछना चाहते हो?,hin,hin,0,0,0,0,0,0,0,0,0
I can't think of life without you.,eng,eng,0,0,0,0,0,0,0,0,0
Ya había sonado la campana cuando llegué al colegio.,spa,spa,0,0,0,0,0,0,0,0,0
हम उस पर कितना भरोसा कर सकते हैं?,hin,hin,0,0,0,0,0,0,0,0,0
मैं टॉम को ख़ुश करना चाहता हूं।,hin,hin,0,0,0,0,0,0,0,0,0
A teacher should never laugh at his students' mistakes.,eng,eng,0,0,0,1,0,0,0,0,1
mala golpear cristiano,spa,spa,1,0,1,1,0,0,1,0,1
"Judging from the look of the sky, it is going to snow.",eng,eng,0,0,0,0,0,0,0,0,0
